"steer","accel","brake","gear","speedX","speedY","speedZ","wheelSpinVel","z","track","trackPos","angle","rpm","damage","distFromStart"
"0.0","0.9999436094777306","0.0","2","50.5159","0.193529","0.320155","[46.3941, 46.0346, 49.6036, 49.6036]","0.288144","[5.36445, 11.811, 21.6999, 200.0, 118.145, 93.0289, 83.576, 76.7628, 72.5452, 68.7719, 65.3766, 62.3051, 58.4669, 54.631, 48.6698, 40.0211, 30.9692, 23.0166, 11.6255]","0.348946","-0.0424799","6479.87","0.0","0.0940859"
"0.0","0.9999436094777306","0.0","2","51.3054","0.151647","0.348498","[47.0873, 46.7757, 50.5398, 50.5398]","0.289069","[5.34895, 11.785, 21.674, 200.0, 119.403, 93.7228, 84.099, 77.1771, 72.8981, 69.0736, 65.6351, 62.5273, 58.6471, 54.7726, 48.759, 40.0499, 30.9671, 23.0241, 11.6383]","0.351092","-0.0420195","6601.84","0.0","0.380778"
"0.0","0.9999436094777306","0.0","2","52.105","0.117771","0.375701","[47.7934, 47.5217, 51.5034, 51.5034]","0.290135","[5.33475, 11.7678, 21.6918, 200.0, 120.459, 94.2857, 84.515, 77.4999, 73.1687, 69.3008, 65.8259, 62.6876, 58.7721, 54.8659, 48.8093, 40.0521, 30.9474, 23.0206, 11.6484]","0.353208","-0.0413476","6727.91","0.0","0.671958"
"0.0","0.9999436094777306","0.0","2","52.9123","0.0878366","0.398876","[48.5087, 48.2737, 52.5065, 52.5065]","0.291325","[5.32186, 11.7585, 21.7506, 200.0, 121.326, 94.7276, 84.8316, 77.7382, 73.3631, 69.4591, 65.9543, 62.7911, 58.8471, 54.9153, 48.8244, 40.0304, 30.9111, 23.0069, 11.6559]","0.355286","-0.0404849","6859.19","0.0","0.967719"
"0.0","0.9999436094777306","0.0","2","53.7255","0.0648643","0.416924","[49.2345, 49.0273, 53.5508, 53.5508]","0.292614","[5.31008, 11.756, 21.8452, 200.0, 122.037, 95.0693, 85.067, 77.9071, 73.4955, 69.5615, 66.0321, 62.8481, 58.8809, 54.9282, 48.8108, 39.9889, 30.8617, 22.9847, 11.6614]","0.357328","-0.0394636","6995.84","0.0","1.26808"
"0.0","0.9999436094777306","0.0","3","54.1764","0.0490242","0.180289","[49.7374, 49.5977, 59.9378, 59.9378]","0.293338","[5.29997, 11.7641, 21.9979, 200.0, 122.459, 95.2332, 85.1588, 77.955, 73.5199, 69.567, 66.0222, 62.8257, 58.8447, 54.8805, 48.7488, 39.9149, 30.7916, 22.9497, 11.6637]","0.359316","-0.0381957","7855.63","0.0","1.5722"
"0.0","0.9999436094777306","0.0","3","54.9087","0.0183748","0.116732","[50.3431, 50.1522, 50.4226, 50.4698]","0.293123","[5.28977, 11.7691, 22.1348, 200.0, 123.064, 95.5042, 85.3351, 78.0736, 73.6061, 69.6275, 66.0616, 62.8478, 58.8472, 54.866, 48.7128, 39.8577, 30.7301, 22.9197, 11.6668]","0.361247","-0.0370402","6184.84","0.0","1.87956"
"0.002223690412387384","0.9999436094777306","0.0","3","54.994","0.0287733","0.0864236","[50.5884, 50.4654, 48.5534, 48.4307]","0.292647","[5.28152, 11.7864, 22.344, 200.0, 123.313, 95.5585, 85.3377, 78.0461, 73.563, 69.5719, 65.9964, 62.7751, 58.7668, 54.7794, 48.6199, 39.7627, 30.6451, 22.8749, 11.6661]","0.363116","-0.0356029","6199.48","0.0","2.18926"
"0.03132809374700954","0.9999436094777306","0.0","3","54.9785","0.0357197","0.0862771","[50.5457, 50.4515, 48.665, 48.6471]","0.292101","[5.27464, 11.8114, 22.6032, 200.0, 123.358, 95.4906, 85.2429, 77.9372, 73.4475, 69.4518, 65.8735, 62.6501, 58.6404, 54.6531, 48.496, 39.6473, 30.5473, 22.822, 11.6632]","0.364914","-0.0340145","5235.99","0.0","2.49896"
"0.1485346251242193","0.9999436094777306","0.0","3","55.3569","0.051854","0.102265","[50.7822, 50.678, 51.0339, 51.0339]","0.291606","[5.26824, 11.8381, 22.8811, 200.0, 123.411, 95.4263, 85.151, 77.8308, 73.334, 69.3335, 65.7517, 62.5264, 58.5154, 54.5278, 48.3729, 39.5325, 30.4492, 22.7685, 11.6599]","0.366653","-0.0324241","5284.85","0.0","2.8096"
"0.4585959455854089","0.9999436094777306","0.0","3","55.8716","0.114806","0.125149","[51.3078, 51.0835, 51.5049, 51.5049]","0.291215","[5.25996, 11.8494, 23.0716, 200.0, 124.049, 95.7092, 85.3345, 77.9532, 73.4236, 69.3965, 65.7926, 62.5493, 58.5184, 54.5132, 48.3362, 39.4745, 30.3831, 22.7346, 11.6608]","0.36837","-0.0312342","5333.01","0.0","3.12305"
"0.9813408356055018","0.9999436094777306","0.0","3","56.3739","0.303045","0.150432","[51.9342, 51.3637, 51.8266, 51.8266]","0.29095","[5.24428, 11.8083, 22.9324, 200.0, 126.556, 97.0912, 86.3876, 78.7991, 74.1532, 70.0293, 66.345, 63.0335, 58.9236, 54.8467, 48.5714, 39.5954, 30.419, 22.7635, 11.6767]","0.370191","-0.0313027","5366.37","0.0","3.43933"
"0.8219873242191277","0.9999436094777306","0.0","3","56.8162","0.575646","0.178362","[52.567, 51.523, 51.96, 51.96]","0.290821","[5.2158, 11.6815, 22.2849, 200.0, 132.452, 100.412, 88.9587, 80.8979, 75.9864, 71.6424, 67.7733, 64.3051, 60.0135, 55.7698, 49.2647, 40.0153, 30.626, 22.8961, 11.7177]","0.372284","-0.0334087","5380.27","0.0","3.75827"
"0.047282118141938986","0.9999436094777306","0.0","3","57.1821","0.894809","0.259058","[53.234, 51.6052, 52.1893, 52.1893]","0.291008","[5.17117, 11.4539, 21.1637, 200.0, 143.617, 106.574, 93.7092, 84.7684, 79.3671, 74.6179, 70.4101, 66.6563, 62.0345, 57.4891, 50.569, 40.8273, 31.0539, 23.1596, 11.7908]","0.37484","-0.0379876","5404.01","0.0","4.07942"
"0.0","0.9999436094777306","0.0","3","57.5718","1.00452","0.326513","[53.7898, 51.9009, 52.7786, 52.7786]","0.291603","[5.11607, 11.1748, 19.9448, 200.0, 160.3, 115.353, 100.37, 90.1401, 84.0302, 78.7017, 74.0136, 69.858, 64.7745, 59.8114, 52.3224, 41.9158, 31.6313, 23.5059, 11.8851]","0.377886","-0.0439611","5464.89","0.0","4.40252"
